gene.ID,logFC,logCPM,F,PValue,FDR,p2n1,p3n1,p4n1,Emerge,p2n2,p3n2,p4n2,primordia,p2n3,p3n3,p4n3,no_primordia,Type,Name,Description
Zm00001d047746,1.824200292,5.752808881,134.6968249,2.23E-07,1.47E-05,41.0477036,41.96951161,36.83038945,39.94920155,21.50472816,22.69256428,35.87879823,26.69203022,89.71922209,96.14653263,96.94349601,94.26975024,gene,,
Zm00001d048718,1.715614286,3.903888239,132.8629609,2.39E-07,1.55E-05,8.386089983,6.922806039,7.963327449,7.757407824,6.693524659,8.009140336,10.60055402,8.434406339,25.91029259,24.2844335,33.37399043,27.85623884,gene,,Galactose oxidase/kelch repeat superfamily protein
Zm00001d013300,1.326199158,6.743828368,131.6834122,2.50E-07,1.58E-05,76.94605371,90.28492876,77.86364617,81.69820954,56.96616731,65.40797941,82.66393569,68.34602747,164.7430543,167.8847316,179.1865439,170.6047766,gene,,Histone H2A  
Zm00001d051995,1.312313815,7.720330691,131.622868,2.50E-07,1.58E-05,178.903253,195.8577209,167.3404782,180.700484,130.0252769,116.1325349,140.8650544,129.0076221,354.3651459,335.2738625,276.9246587,322.187889,gene,proliferating cell nuclear antigen2, proliferating cell nuclear antigen2
Zm00001d004020,1.611057635,3.980152202,131.374502,2.53E-07,1.58E-05,11.18145331,14.42251258,14.15702658,13.25366416,6.978355495,7.208226302,10.39669721,8.194426337,22.81652631,23.78883282,28.60627751,25.07054554,gene,,
Zm00001d052027,1.286831646,4.309715176,130.6891328,2.59E-07,1.60E-05,13.24119471,17.01856485,18.47049561,16.24341839,9.826663861,12.28068185,14.88154699,12.3296309,26.03919951,29.85994119,34.16860925,30.02258332,gene,,
Zm00001d000005,1.407495396,4.42824143,129.3461773,2.73E-07,1.67E-05,18.97904575,15.57631359,18.24929207,17.60155047,10.96598721,11.74673916,15.0854038,12.59937672,34.160336,29.36434051,37.21464806,33.57977485,gene,,myosin heavy chain-related
Zm00001d012714,2.256363924,3.35252362,128.3895474,2.83E-07,1.72E-05,5.149353498,5.624779907,6.304300897,5.692811434,2.705892947,3.337141807,6.421489456,4.154841403,15.85555218,21.06302906,22.77907283,19.89921802,gene,,Putative uncharacterized protein [Source:UniProtKB/TrEMBL;Acc:B6TMZ0]
Zm00001d040040,1.189348184,4.782014038,127.2940291,2.95E-07,1.77E-05,17.06642874,19.75884224,19.46591154,18.76372751,19.08366605,17.62010874,20.79339443,19.16572307,42.15256555,44.85186187,44.23378097,43.74606946,gene,,Heavy metal transport/detoxification superfamily protein
Zm00001d010813,2.117078512,4.585897609,126.4198055,3.06E-07,1.81E-05,8.82746314,6.634355787,5.861893816,7.107904248,8.544925096,11.61325349,15.49311742,11.88376533,55.42997916,44.60406153,56.4179362,52.15065896,gene,,receptor like protein 29
Zm00001d039718,1.19429313,7.284607438,126.2083996,3.08E-07,1.81E-05,140.7980371,147.1096283,129.0722657,138.9933104,98.12422319,87.16614399,114.1598125,99.81672657,228.1652631,216.9491993,239.4451377,228.1865333,gene,,Mini-chromosome maintenance complex-binding protein
Zm00001d038688,2.28555922,6.758007702,125.2150729,3.20E-07,1.86E-05,82.68390475,81.91987146,77.53184086,80.71187235,30.90414576,32.17004701,63.19561052,42.08993443,201.9971566,206.0459842,194.9464838,200.9965415,gene,Rho-related protein6, Rho-related protein6
Zm00001d015394,2.645621173,3.4207514,124.5891114,3.28E-07,1.88E-05,6.032099813,3.749853271,4.092265494,4.624739526,2.848308365,3.470627479,4.586778183,3.635238009,17.14462146,23.66493264,28.47384104,23.09446505,gene,PLATZ-transcription factor 8,PLATZ transcription factor family protein
Zm00001d024756,2.095520418,4.341924105,124.3013905,3.32E-07,1.89E-05,12.21132401,16.15321409,15.48424782,14.61626197,6.835940077,6.540797941,12.4352653,8.604001104,38.2853577,34.32034734,37.61195747,36.73922084,gene,,Encodes alpha-helical IF (intermediate filament)-like protein.
Zm00001d002546,1.152859287,10.9567959,123.6949103,3.40E-07,1.91E-05,1469.772613,1723.634479,1244.269914,1479.225668,1319.621266,1406.938986,1414.562392,1380.374214,3322.704983,3431.910834,2552.448086,3102.354634,gene,H4C7,Histone H4  
Zm00001d034030,2.174544263,4.189635769,122.8553471,3.52E-07,1.96E-05,13.68256787,16.44166434,14.8206372,14.98162314,4.842124221,5.739883907,10.49862562,7.026877915,30.16422122,32.70964512,32.84424455,31.90603696,gene,,Kinesin-like protein KIN-12E
Zm00001d041957,1.752564348,5.445807382,121.3218116,3.74E-07,2.04E-05,28.54213082,30.28727642,25.99141598,28.27360774,21.21989732,18.42102277,29.96695079,23.20262363,79.92229554,82.02191315,73.23736789,78.39385886,gene,,Fizzy-related protein  
Zm00001d048138,1.086459527,5.664822276,121.2612973,3.75E-07,2.04E-05,23.83415048,27.83544928,27.31863722,26.32941233,37.74008584,36.5750742,45.66392502,39.99302835,82.62934103,77.93320751,94.16233014,84.90829289,gene,,BTB/POZ domain-containing protein NPY2
Zm00001d033112,2.23372731,5.768490845,120.0867738,3.94E-07,2.11E-05,37.9580915,39.22923422,39.92723901,39.03818825,17.51709645,15.35085231,32.92287451,21.93027442,106.3482158,103.5805429,94.95694896,101.6285692,gene,kinesin-related protein13, kinesin-related protein13
Zm00001d013221,1.103711232,6.578837621,119.4573795,4.04E-07,2.15E-05,73.85644161,77.30466744,79.85447803,77.00519569,64.94143073,55.39655399,79.09644155,66.47814209,132.2585084,136.0423877,158.923764,142.40822,gene,,SWIb domain-containing protein  
Zm00001d035783,1.596326492,5.531891222,119.476228,4.04E-07,2.15E-05,29.57200152,44.709789,29.64127439,34.64102164,22.64405151,23.89393533,30.1708076,25.56959815,68.57848585,83.26091486,81.5808655,77.8067554,gene,,Heavy metal transport/detoxification superfamily protein
Zm00001d006467,1.824908201,6.069655633,119.1828786,4.09E-07,2.16E-05,32.51448923,22.78756988,21.12493809,25.47566573,51.98162767,24.96182071,34.85951419,37.26765419,222.6222651,107.1736478,84.09715842,137.9643571,gene,adenosine 5'-phosphosulfate reductase-like2, adenosine 5'-phosphosulfate reductase-like2
Zm00001d031647,5.350483365,1.723882185,181.816657,4.19E-07,2.20E-05,0,0,0,0,0.142415418,0.133485672,0.305785212,0.193895434,10.44146119,7.310110084,9.138116427,8.963229234,gene,sugars will eventually be exported transporter11, sugars will eventually be exported transporter11
Zm00001d043588,4.310288512,3.130521781,117.7405405,4.34E-07,2.25E-05,1.324119471,3.172952768,5.530088506,3.342386915,0.569661673,0.400457017,2.140496485,1.036871725,24.6212233,13.25731829,25.29536576,21.05796912,gene,,Protodermal factor 1
Zm00001d010525,1.84779873,5.877939793,116.7475292,4.52E-07,2.30E-05,40.31208167,47.73851664,43.6876992,43.91276584,24.63786736,21.09073622,40.77136162,28.83332173,92.68408144,108.040949,107.5384136,102.7544814,gene,,Kinesin-like protein KIN-10B
Zm00001d010728,1.272710876,6.920449519,116.5406447,4.56E-07,2.30E-05,72.38519775,78.17001819,69.34730987,73.30084194,86.16132805,71.01437764,96.83198386,84.66922985,213.985501,208.028387,191.5031356,204.5056745,gene,,PLASMODESMATA CALLOSE-BINDING PROTEIN 2
Zm00001d017391,3.055611088,3.029310305,116.6006029,4.55E-07,2.30E-05,0.441373157,0.721125629,0.884814161,0.682437649,1.851400438,3.070170462,2.242424889,2.387998596,28.87515194,14.49632,18.54110579,20.63752591,gene,yabby15,Axial regulator YABBY 1
Zm00001d038682,1.556036887,7.931596054,116.8192701,4.51E-07,2.30E-05,240.1069974,253.8362214,200.4104075,231.4512088,118.489628,107.0555092,155.0331026,126.8594132,394.9708283,377.2760204,348.0430431,373.4299639,gene,,PLASMODESMATA CALLOSE-BINDING PROTEIN 2
Zm00001d048394,1.326761519,8.882349158,116.4823096,4.57E-07,2.30E-05,463.7360636,493.9710559,411.8809919,456.5293705,244.5272732,247.3489507,329.1268167,273.6676802,717.7537767,652.2104997,684.4316768,684.798651,gene,,Cyclin-dependent kinases regulatory subunit 1
Zm00001d010936,1.696186531,3.88061973,115.6457874,4.74E-07,2.36E-05,6.326348584,5.480554781,4.534672575,5.44719198,9.399417606,7.608683319,9.78512679,8.931075905,26.16810644,28.37313914,32.44693514,28.99606024,gene,,
Zm00001d035757,1.357068395,5.997217694,115.6779919,4.73E-07,2.36E-05,59.14400304,63.31483023,50.43440718,57.63108015,39.30665544,31.50261865,41.28100364,37.36342591,104.8013327,86.85401981,96.28131366,95.97888872,gene,,Vacuolar sorting protein 39
Zm00001d012693,1.286635006,5.476294645,115.168347,4.84E-07,2.38E-05,39.13508659,34.90248045,28.53525669,34.19094124,35.46143915,24.29439235,26.70524186,28.82035779,72.05897291,74.34010255,63.30463264,69.90123603,gene,,Solute carrier family 23 member 2  
Zm00001d049294,1.799966054,3.395258883,115.001178,4.87E-07,2.38E-05,4.266607184,4.615204026,3.649858414,4.177223208,7.40560175,4.538512857,5.809919031,5.918011213,25.13685102,18.83282598,18.14379638,20.70449113,gene,bHLH-transcription factor 130,Putative HLH DNA-binding domain superfamily protein  
Zm00001d036692,2.867424358,1.864264386,114.3795096,5.00E-07,2.41E-05,0.441373157,0.576900503,0.663610621,0.560628094,0.85449251,1.601828067,1.019284041,1.158534872,7.476601841,8.673011964,9.138116427,8.429243411,gene,SBP-domain protein3, SBP-domain protein3
Zm00001d025381,1.39739227,9.399391938,113.8565671,5.12E-07,2.43E-05,452.2603616,503.9225896,355.3634874,437.1821462,372.2739034,455.9870564,472.0304392,433.4304663,1239.569022,1282.118969,941.6233014,1154.437097,gene,,Histone H3.2
Zm00001d007468,1.928863511,4.045130376,113.4522229,5.21E-07,2.45E-05,16.77217997,21.48954375,16.59026552,18.28399641,8.117678841,5.205941218,5.911847435,6.411822498,24.49231637,22.67373128,25.69267517,24.28624094,gene,,
Zm00001d052749,1.154485982,6.566050672,112.625376,5.40E-07,2.50E-05,85.77351685,101.8229388,82.1771152,89.92452362,62.94761488,54.19518294,62.6859685,59.9429221,139.6062033,133.1926837,128.3309394,133.7099422,gene,nucleosome/chromatin assembly factor D, nucleosome/chromatin assembly factor D
Zm00001d031943,1.928698918,4.328705516,112.5291659,5.42E-07,2.51E-05,13.24119471,16.15321409,14.48883189,14.6277469,9.114586769,6.273826596,12.5371937,9.308535688,34.80487064,35.18764854,36.55246571,35.51499496,gene,kinesin-related protein4, kinesin-related protein4
Zm00001d013006,1.166522821,6.175356402,111.8388355,5.58E-07,2.54E-05,61.20374444,76.87199206,63.15361074,67.07644908,46.56984177,42.18147243,48.92563395,45.89231605,102.6099149,100.8547391,105.949176,103.1379433,gene,,DNA gyrase subunit A chloroplastic/mitochondrial
Zm00001d050615,1.158197381,6.505202745,111.8820213,5.57E-07,2.54E-05,74.15069038,87.11197599,76.86823023,79.37696553,52.40887392,56.46443937,69.92288518,59.59873282,133.1608569,131.4580813,133.4959617,132.7049667,gene,,Zinc-finger domain of monoamine-oxidase A repressor R1 protein
Zm00001d020238,4.776038583,1.775676754,110.9195328,5.81E-07,2.61E-05,1.324119471,1.153801006,1.106017701,1.19464606,0.427246255,0,0.407713616,0.278319957,7.605508769,4.708206495,12.05171877,8.121811343,gene,,Protein HOTHEAD
Zm00001d031451,1.527504889,4.699488336,109.8281715,6.10E-07,2.70E-05,19.56754329,25.23939702,24.66419474,23.15704502,10.25391012,13.34856723,18.14325592,13.91524442,37.76972999,43.36505982,38.8038857,39.9795585,gene,unbranched2,SBP-domain protein 5  
Zm00001d043831,1.976620121,3.920338154,109.6355742,6.16E-07,2.70E-05,10.74008015,12.69181107,10.7283717,11.38675431,5.411785894,5.205941218,9.479341577,6.699022897,25.78138566,23.66493264,30.19551515,26.54727782,gene,,65-kDa microtubule-associated protein 3
Zm00001d045445,2.285094796,4.700740783,109.3397017,6.24E-07,2.72E-05,21.18591154,21.777994,16.81146906,19.92512486,7.975263423,6.674283613,14.37190497,9.673817336,50.66042282,40.8870564,51.51778681,47.68842201,gene,,Putative leucine-rich repeat protein kinase family protein  
Zm00001d026532,1.143955137,5.268424099,109.2232684,6.27E-07,2.73E-05,38.84083782,44.27711362,37.05159299,40.05651481,21.50472816,25.89622042,22.7300341,23.37699423,53.75418909,48.94056751,52.04753269,51.5807631,gene,,Protein RCC2%253B Putative regulator of chromosome condensation (RCC1) family protein  
Zm00001d006250,1.102434922,6.968267331,109.1081701,6.30E-07,2.74E-05,158.4529634,165.7146696,127.523841,150.5638246,72.63186332,67.81072151,72.57302369,71.00520284,174.1532601,150.5387077,136.1446911,153.6122196,gene,,Alba DNA/RNA-binding protein
Zm00001d042523,1.222635698,5.093567663,109.0776262,6.31E-07,2.74E-05,34.8684794,31.2968523,31.30030094,32.48854422,17.9443427,21.49119323,22.7300341,20.72185668,46.9221219,45.09966221,53.50433386,48.50870599,gene,,Cell division cycle protein 27 homolog B
Zm00001d011956,1.321373305,4.69046614,108.5325641,6.47E-07,2.78E-05,19.86179207,21.92221912,24.77479651,22.18626923,13.81429557,12.41416752,20.48760922,15.5720241,38.80098541,32.21404444,45.4257092,38.81357968,gene,set domain gene118,Histone-lysine N-methyltransferase H3 lysine-9 specific SUVH4
Zm00001d018531,1.169301125,5.973700676,106.6273099,7.05E-07,2.96E-05,55.90726656,59.85342721,48.66477885,54.80849087,39.44907086,37.37598823,45.76585342,40.86363751,89.97703594,93.17292853,93.23527485,92.12841311,gene,,Replication protein A 32 kDa subunit A
Zm00001d033158,1.503582474,4.887759096,106.1061833,7.22E-07,2.98E-05,19.71466768,26.8258734,23.00516819,23.18190309,13.81429557,14.81690962,22.11846368,16.91655629,45.89086647,45.34746256,52.31240563,47.85024489,gene,JUMONJI-transcription factor 22,Transcription factor jumonji (jmjC) domain-containing protein
Zm00001d021706,1.140664057,8.459772453,105.4788785,7.43E-07,3.02E-05,285.5684326,352.0535321,270.0895226,302.5704958,238.9730719,215.9798177,247.2783082,234.0770659,552.2372808,542.5588484,461.8059707,518.8673667,gene,,Histone H2A  
Zm00001d052918,1.64760489,5.052557199,105.5127341,7.42E-07,3.02E-05,34.27998186,38.65233372,27.31863722,33.41698427,13.38704932,15.75130933,17.83747071,15.65860978,58.00811773,48.19716649,43.43916215,49.88148212,gene,,Ubiquitin-protein ligase/ zinc ion binding protein  
Zm00001d006323,1.328968163,5.329348314,104.9245527,7.63E-07,3.05E-05,21.33303592,17.73969047,22.78396465,20.61889701,20.79265107,27.36456281,36.79615387,28.31778925,63.68002257,67.15389264,81.05111962,70.62834494,gene,,Histone-lysine N-methyltransferase ATX4
Zm00001d032805,2.526473145,5.909978084,105.0190619,7.59E-07,3.05E-05,33.10298678,37.64275784,35.72437175,35.49003879,12.67497223,16.15176634,37.00001067,21.94224975,123.1061165,116.9617613,125.8146465,121.9608414,gene,,Shugoshin-1  
Zm00001d018261,5.019343853,3.257632867,104.3093896,7.85E-07,3.10E-05,0.294248771,0.865350755,2.986247793,1.381949106,0,0.533942689,1.732782869,0.755575186,23.46106095,28.00143863,25.42780223,25.6301006,gene,,LRR receptor-like serine/threonine-protein kinase ERECTA
Zm00001d048573,1.326588086,3.769634952,104.3488581,7.83E-07,3.10E-05,11.18145331,10.38420906,11.72378763,11.09648333,8.829755933,7.475197647,8.561985941,8.28897984,20.10948081,19.82402735,22.38176342,20.77175719,gene,,Rhodopsin-like receptor  
Zm00001d041606,1.201239727,4.82580858,104.0605017,7.94E-07,3.11E-05,25.30539434,23.79714576,22.89456642,23.9990355,20.36540481,14.54993828,19.87603879,18.26379396,48.21119118,37.78955213,40.26068687,42.08714339,gene,minichromosome maintenance2,DNA replication licensing factor MCM7
Zm00001d018031,1.498519351,5.292418639,103.5215984,8.14E-07,3.16E-05,74.00356599,41.10416086,33.29113281,49.46628655,22.92888234,12.28068185,17.02204348,17.41053589,72.57460062,41.7543576,37.08221159,50.47038994,gene,alpha expansin2, alpha expansin2
Zm00001d023736,2.001053045,3.030483881,102.9521833,8.37E-07,3.21E-05,1.618368242,1.442251258,2.322637173,1.794418891,2.990723784,3.203656134,6.829203072,4.34119433,17.91806303,10.6554147,23.83856459,17.47068077,gene,MADS-transcription factor 34,Agamous-like MADS-box protein AGL8
Zm00001d048366,2.334843393,5.056388123,102.9444713,8.37E-07,3.21E-05,24.12839925,22.78756988,26.43382306,24.44993073,7.40560175,8.142626008,22.32232049,12.62351608,56.46123459,56.62237811,72.3103126,61.7979751,gene,,Expressed protein;  protein
Zm00001d042302,1.034792082,6.542255559,102.8877422,8.39E-07,3.21E-05,70.03120758,83.7947981,74.7667966,76.19760076,67.64732368,62.60478029,68.80167274,66.3512589,144.1179458,140.1310933,124.4902818,136.2464403,gene,,DEK domain-containing chromatin associated protein
Zm00001d025528,1.689998472,3.486310479,102.8096866,8.42E-07,3.21E-05,11.62282647,12.98026132,10.94957524,11.85088768,4.414877966,5.205941218,5.300277011,4.973698732,17.01571453,14.37241983,17.08430462,16.15747966,gene,,NAD(P)-linked oxidoreductase superfamily protein
Zm00001d017146,1.290858567,5.62490017,102.329374,8.62E-07,3.25E-05,42.22469869,45.71936488,39.70603547,42.55003301,31.61622286,24.29439235,35.2672278,30.39261434,76.44180847,71.36649845,75.22391494,74.34407395,gene,,
Zm00001d005546,1.110033065,5.581291162,101.9723739,8.76E-07,3.27E-05,32.66161362,40.52726035,48.22237177,40.47041525,30.19206867,27.8985055,38.22315152,32.10457523,55.04325838,63.56078768,91.77847368,70.12750658,gene,ADP glucose pyrophosphorylase small subunit embryo 1, ADP glucose pyrophosphorylase small subunit embryo 1
Zm00001d052955,2.16133463,3.992928314,102.0877155,8.72E-07,3.27E-05,9.268836297,12.98026132,11.17077878,11.1399588,5.839032149,4.405027185,9.275484769,6.506514701,31.58219743,26.88633709,29.40089633,29.28981028,gene,,ARM repeat superfamily protein
Zm00001d015839,1.033024671,5.991652326,101.1116738,9.13E-07,3.36E-05,55.17164463,61.58412872,50.10260187,55.6194584,45.00327217,41.3805584,45.76585342,44.04989467,95.90675464,92.18172716,83.43497607,90.50781929,gene,,Chaperone protein dnaJ 6
Zm00001d013066,1.057099914,8.567000314,101.0637885,9.15E-07,3.36E-05,286.0098057,308.7859944,233.5909385,276.1289129,270.1620485,269.7745436,294.6750161,278.2038694,631.6439486,599.0573264,517.1644152,582.6218967,gene,,Histone H1  
Zm00001d030614,1.226642782,4.092792922,100.8971941,9.23E-07,3.38E-05,17.21355312,13.26871157,14.04642481,14.8428965,11.82047972,10.54536811,9.683198386,10.6830154,27.07045494,25.52343521,22.38176342,24.99188452,gene,minichromosome maintenance1,DNA replication licensing factor MCM7
